customer_id,legal_name,registration_number,incorporation_country,segment,onboarding_date,registered_address,primary_contact_email,primary_contact_phone,relationship_manager
CUST00088,Redwood Exports LLP,UK99838541,GB,SME,2023-02-13,"86 Station Ave, UK",contact88@customer88.co.uk,+44 20 9779 2671,J. Carrington
CUST00089,Stonebridge Group Limited,UK92560389,GB,SME,2019-06-05,"64 Park Row, UK",contact89@customer89.co.uk,+44 20 5309 5697,M. Osei
CUST00090,Northfield Freight LLP,UK66608172,GB,SME,2017-06-07,"156 Mill Lane, UK",contact90@customer90.co.uk,+44 20 1513 5215,R. Nakamura
CUST00091,Ashford Supplies LLP,UK66774900,GB,SME,2023-02-27,"186 Mill Lane, UK",contact91@customer91.co.uk,+44 20 5091 3334,J. Carrington
CUST00092,Kestrel Group LLP,UK25975592,GB,Mid-market,2022-11-09,"28 High St, UK",contact92@customer92.co.uk,+44 20 2151 1406,J. Carrington
CUST00093,Ashford Textiles Limited,UK10769205,GB,SME,2019-03-29,"187 Park Row, UK",contact93@customer93.co.uk,+44 20 1077 5332,S. Bello
CUST00094,Elmsworth Trading Limited,UK40497006,GB,SME,2015-03-19,"148 High St, UK",contact94@customer94.co.uk,+44 20 1808 9633,J. Carrington
CUST00095,Crestline Distribution Limited,UK38482132,GB,SME,2020-01-27,"59 High St, UK",contact95@customer95.co.uk,+44 20 3202 6872,J. Carrington
CUST00096,Blue Anchor Industries LLP,UK27244270,GB,SME,2019-09-19,"11 Kings Rd, UK",contact96@customer96.co.uk,+44 20 7060 5459,J. Carrington
CUST00097,Rosewood Trading Ltd,UK33325031,GB,SME,2016-04-04,"114 High St, UK",contact97@customer97.co.uk,+44 20 8951 1996,M. Osei
CUST00098,Harborview Imports Ltd,UK12234081,GB,SME,2020-05-21,"196 Mill Lane, UK",contact98@customer98.co.uk,+44 20 3106 3271,A. Whitfield
CUST00099,Rosewood Group LLP,UK64716416,GB,SME,2022-02-21,"53 Mill Lane, UK",contact99@customer99.co.uk,+44 20 2218 3652,S. Bello
CUST00100,Silverline Trading LLP,UK93471440,GB,Corporate,2015-11-25,"158 Kings Rd, UK",contact100@customer100.co.uk,+44 20 3813 7882,A. Whitfield
CUST00101,Kestrel Distribution LLP,UK72171995,GB,Mid-market,2021-02-22,"10 High St, UK",contact101@customer101.co.uk,+44 20 3714 8889,M. Osei
CUST00102,Ashford Trading Ltd,UK50338659,GB,Mid-market,2016-03-11,"170 High St, UK",contact102@customer102.co.uk,+44 20 7953 9113,S. Bello
CUST00103,Crestline Trading LLP,UK47824135,GB,SME,2021-05-12,"127 Kings Rd, UK",contact103@customer103.co.uk,+44 20 1946 9860,A. Whitfield
CUST00104,Copperfield Global LLP,UK37678156,GB,Corporate,2018-07-24,"155 High St, UK",contact104@customer104.co.uk,+44 20 6525 9840,R. Nakamura
CUST00105,Thornfield Overseas Ltd,UK22816547,GB,Mid-market,2015-01-21,"179 Station Ave, UK",contact105@customer105.co.uk,+44 20 4193 9576,S. Bello
CUST00106,Rosewood Overseas Ltd,UK63862946,GB,Mid-market,2023-03-18,"90 Kings Rd, UK",contact106@customer106.co.uk,+44 20 6296 1646,R. Nakamura
CUST00107,Westbrook Holdings LLP,UK60987158,GB,SME,2016-05-30,"195 Kings Rd, UK",contact107@customer107.co.uk,+44 20 4690 2240,M. Osei
CUST00108,Sable Textiles LLP,UK10658301,GB,SME,2020-01-24,"98 Kings Rd, UK",contact108@customer108.co.uk,+44 20 9470 3739,A. Whitfield
CUST00109,Rosewood Industries LLP,UK47396936,GB,SME,2016-07-17,"46 Mill Lane, UK",contact109@customer109.co.uk,+44 20 3001 5975,T. Ferreira
CUST00110,Rosewood Imports Ltd,UK35021989,GB,Mid-market,2022-12-05,"31 High St, UK",contact110@customer110.co.uk,+44 20 4826 1872,M. Osei
CUST00111,Ironwood Overseas Ltd,UK25325355,GB,SME,2021-04-10,"58 High St, UK",contact111@customer111.co.uk,+44 20 8347 8611,S. Bello
CUST00112,Northfield Industries Limited,UK73273011,GB,SME,2021-10-31,"83 Park Row, UK",contact112@customer112.co.uk,+44 20 7685 6550,M. Osei
CUST00113,Delta Group Limited,UK57324353,GB,SME,2018-09-02,"33 High St, UK",contact113@customer113.co.uk,+44 20 4622 5880,A. Whitfield
CUST00114,Copperfield Textiles LLP,UK67039278,GB,SME,2018-12-21,"23 Mill Lane, UK",contact114@customer114.co.uk,+44 20 5688 2487,S. Bello
CUST00115,Ironwood Logistics LLP,UK74213346,GB,SME,2020-05-22,"55 Mill Lane, UK",contact115@customer115.co.uk,+44 20 1736 3279,T. Ferreira
CUST00116,Stonebridge Trading Ltd,UK98362534,GB,Mid-market,2021-09-01,"6 Kings Rd, UK",contact116@customer116.co.uk,+44 20 5088 2442,T. Ferreira
CUST00117,Meridian Commodities Ltd,UK82248637,GB,Mid-market,2022-03-13,"82 Mill Lane, UK",contact117@customer117.co.uk,+44 20 1959 8666,S. Bello
CUST00118,Larkspur Exports LLP,UK65832193,GB,Mid-market,2015-02-25,"110 Station Ave, UK",contact118@customer118.co.uk,+44 20 4374 6257,M. Osei
CUST00119,Stonebridge Distribution Limited,UK89111939,GB,SME,2020-08-21,"93 Park Row, UK",contact119@customer119.co.uk,+44 20 5715 7615,T. Ferreira
CUST00120,Ashford Textiles Limited,UK52975528,GB,SME,2015-12-05,"106 Kings Rd, UK",contact120@customer120.co.uk,+44 20 7657 3663,S. Bello
CUST00121,Meridian Trading Ltd,UK98628992,GB,SME,2017-06-12,"46 Kings Rd, UK",contact121@customer121.co.uk,+44 20 8630 4340,M. Osei
CUST00122,Wintercroft Imports LLP,UK78528929,GB,SME,2022-01-17,"119 Kings Rd, UK",contact122@customer122.co.uk,+44 20 8516 4643,A. Whitfield
CUST00123,Coldwell Logistics Limited,UK68579500,GB,SME,2017-02-16,"182 Mill Lane, UK",contact123@customer123.co.uk,+44 20 1998 7839,T. Ferreira
CUST00124,Blue Anchor Group Ltd,UK91299507,GB,SME,2021-10-08,"172 Station Ave, UK",contact124@customer124.co.uk,+44 20 1271 7950,M. Osei
CUST00125,Vantage Global Limited,UK56357100,GB,SME,2018-12-07,"67 Kings Rd, UK",contact125@customer125.co.uk,+44 20 1388 2861,S. Bello
CUST00126,Ironwood Manufacturing LLP,UK74862634,GB,SME,2016-12-22,"149 Kings Rd, UK",contact126@customer126.co.uk,+44 20 6429 9472,A. Whitfield
CUST00127,Harborview Distribution LLP,UK35625779,GB,SME,2017-11-03,"50 Park Row, UK",contact127@customer127.co.uk,+44 20 4675 2085,M. Osei
CUST00128,Marlow Imports Ltd,UK96689009,GB,SME,2019-07-05,"97 High St, UK",contact128@customer128.co.uk,+44 20 3095 9064,M. Osei
CUST00129,Harborview Global Limited,UK66103064,GB,SME,2021-07-02,"99 Mill Lane, UK",contact129@customer129.co.uk,+44 20 7539 1903,M. Osei
CUST00130,Redwood Imports Limited,UK80380464,GB,SME,2020-02-24,"172 Station Ave, UK",contact130@customer130.co.uk,+44 20 4463 3380,S. Bello
CUST00131,Delta Industries Ltd,UK51466389,GB,SME,2022-12-05,"39 High St, UK",contact131@customer131.co.uk,+44 20 2600 8617,T. Ferreira
CUST00132,Highgate Imports LLP,UK88012128,GB,Mid-market,2022-05-16,"121 High St, UK",contact132@customer132.co.uk,+44 20 6558 2615,T. Ferreira
CUST00133,Crestline Logistics Limited,UK16676008,GB,SME,2021-05-26,"64 High St, UK",contact133@customer133.co.uk,+44 20 6855 4721,S. Bello
CUST00134,Fenwick Industries Limited,UK20269366,GB,SME,2020-02-15,"5 Park Row, UK",contact134@customer134.co.uk,+44 20 1553 5048,M. Osei
CUST00135,Sable Exports Ltd,UK55640483,GB,SME,2017-06-18,"18 High St, UK",contact135@customer135.co.uk,+44 20 2666 3207,T. Ferreira
CUST00136,Northfield Global Ltd,UK75917214,GB,SME,2018-07-04,"186 High St, UK",contact136@customer136.co.uk,+44 20 8910 7391,R. Nakamura
CUST00137,Thornfield Commodities Ltd,UK82829719,GB,Corporate,2016-01-04,"163 High St, UK",contact137@customer137.co.uk,+44 20 2206 8661,R. Nakamura
CUST00138,Redwood Distribution Limited,UK49607982,GB,SME,2018-03-07,"31 High St, UK",contact138@customer138.co.uk,+44 20 6168 8870,S. Bello
CUST00139,Falcon Distribution Limited,UK68470587,GB,Mid-market,2022-11-14,"141 Station Ave, UK",contact139@customer139.co.uk,+44 20 7722 4053,S. Bello
CUST00140,Highgate Global Limited,UK59779341,GB,SME,2018-08-14,"95 Kings Rd, UK",contact140@customer140.co.uk,+44 20 5813 5777,T. Ferreira
CUST00141,Crestline Imports LLP,UK96537064,GB,SME,2015-12-19,"18 Mill Lane, UK",contact141@customer141.co.uk,+44 20 7478 3235,R. Nakamura
CUST00142,Oakbridge Global Limited,UK68869216,GB,SME,2020-07-15,"46 Mill Lane, UK",contact142@customer142.co.uk,+44 20 3997 3202,R. Nakamura
CUST00143,Copperfield Commodities LLP,UK47515954,GB,Corporate,2023-03-06,"137 Park Row, UK",contact143@customer143.co.uk,+44 20 3664 2451,S. Bello
CUST00144,Ashford Commodities Limited,UK97283359,GB,SME,2022-05-15,"99 High St, UK",contact144@customer144.co.uk,+44 20 1328 9459,M. Osei
CUST00145,Brightwater Exports Ltd,UK19652773,GB,SME,2017-04-30,"56 Park Row, UK",contact145@customer145.co.uk,+44 20 1668 8991,M. Osei
CUST00146,Oakbridge Textiles Limited,UK98612026,GB,SME,2018-11-09,"107 Station Ave, UK",contact146@customer146.co.uk,+44 20 1027 7995,R. Nakamura
CUST00147,Amber Manufacturing Limited,UK23861173,GB,SME,2019-07-06,"92 High St, UK",contact147@customer147.co.uk,+44 20 3955 5658,A. Whitfield
CUST00148,Larkspur Manufacturing Limited,UK35940541,GB,SME,2017-02-08,"179 Station Ave, UK",contact148@customer148.co.uk,+44 20 3539 5414,M. Osei
CUST00149,Marlow Distribution Limited,UK83932305,GB,SME,2017-04-13,"199 Park Row, UK",contact149@customer149.co.uk,+44 20 5063 5767,S. Bello
CUST00150,Redwood Overseas LLP,UK76037814,GB,SME,2017-01-04,"58 Kings Rd, UK",contact150@customer150.co.uk,+44 20 4539 5828,T. Ferreira
CUST00151,Amber Manufacturing Ltd,UK97331880,GB,Mid-market,2023-06-14,"50 Park Row, UK",contact151@customer151.co.uk,+44 20 8428 4910,R. Nakamura
CUST00152,Coldwell Exports Limited,UK77498517,GB,Mid-market,2021-05-03,"111 Mill Lane, UK",contact152@customer152.co.uk,+44 20 4252 2185,J. Carrington
CUST00153,Fenwick Freight LLP,UK67330763,GB,SME,2022-02-22,"193 Station Ave, UK",contact153@customer153.co.uk,+44 20 4237 2130,J. Carrington
CUST00154,Fenwick Holdings LLP,UK41184357,GB,SME,2021-12-08,"181 Park Row, UK",contact154@customer154.co.uk,+44 20 2642 9569,S. Bello
CUST00155,Delta Supplies Ltd,UK10424130,GB,SME,2023-02-24,"16 Kings Rd, UK",contact155@customer155.co.uk,+44 20 1804 5337,R. Nakamura
CUST00156,Sable Holdings Limited,UK21148279,GB,Mid-market,2015-11-23,"147 Park Row, UK",contact156@customer156.co.uk,+44 20 8507 9577,A. Whitfield
CUST00157,Stonebridge Exports Ltd,UK36799950,GB,SME,2022-06-28,"30 Kings Rd, UK",contact157@customer157.co.uk,+44 20 2320 2472,R. Nakamura
CUST00158,Falcon Overseas Ltd,UK13685226,GB,Mid-market,2015-07-26,"110 Station Ave, UK",contact158@customer158.co.uk,+44 20 4352 5989,J. Carrington
CUST00159,Fenwick Holdings Limited,UK55736167,GB,Mid-market,2019-01-15,"23 Station Ave, UK",contact159@customer159.co.uk,+44 20 9637 2869,S. Bello
CUST00160,Brightwater Trading Ltd,UK79960880,GB,Mid-market,2020-01-19,"59 Kings Rd, UK",contact160@customer160.co.uk,+44 20 2479 3278,T. Ferreira
CUST00161,Ashford Textiles LLP,UK96692926,GB,SME,2018-01-15,"103 Mill Lane, UK",contact161@customer161.co.uk,+44 20 8868 1270,T. Ferreira
CUST00162,Rosewood Holdings Ltd,UK54072976,GB,Mid-market,2016-03-29,"127 Kings Rd, UK",contact162@customer162.co.uk,+44 20 4420 2070,R. Nakamura
CUST00163,Blue Anchor Commodities Limited,UK88750461,GB,SME,2016-08-19,"164 High St, UK",contact163@customer163.co.uk,+44 20 2413 9250,J. Carrington
CUST00164,Amber Exports Ltd,UK98698614,GB,SME,2022-01-02,"172 High St, UK",contact164@customer164.co.uk,+44 20 1014 3893,J. Carrington
CUST00165,Larkspur Commodities Ltd,UK87384561,GB,SME,2017-09-16,"147 Kings Rd, UK",contact165@customer165.co.uk,+44 20 9237 6472,M. Osei
CUST00166,Stonebridge Supplies Ltd,UK51847610,GB,SME,2017-08-20,"77 High St, UK",contact166@customer166.co.uk,+44 20 1645 5184,T. Ferreira
CUST00167,Ironwood Holdings LLP,UK39273434,GB,Mid-market,2022-11-05,"140 High St, UK",contact167@customer167.co.uk,+44 20 9737 4603,T. Ferreira
CUST00168,Rosewood Imports Limited,UK98012527,GB,Mid-market,2016-03-22,"132 Station Ave, UK",contact168@customer168.co.uk,+44 20 5757 5786,T. Ferreira
CUST00169,Larkspur Logistics Ltd,UK31772040,GB,SME,2022-10-11,"169 Station Ave, UK",contact169@customer169.co.uk,+44 20 6943 2684,M. Osei
CUST00170,Copperfield Industries Ltd,UK47041839,GB,Corporate,2022-10-28,"60 Station Ave, UK",contact170@customer170.co.uk,+44 20 8556 9896,M. Osei
CUST00171,Fenwick Freight Limited,UK16662744,GB,SME,2020-02-01,"165 Kings Rd, UK",contact171@customer171.co.uk,+44 20 2282 8363,T. Ferreira
