alert_id,alert_date,alert_type,severity,subject_type,subject_id,disposition,analyst_notes
ALRT0000001,2022-08-30,value_mismatch,high,transaction,TXN0002512,closed,Routine system-generated alert; no further linkage identified.
ALRT0000069,2024-04-01,value_mismatch,low,transaction,TXN0002509,escalated,Routine system-generated alert; no further linkage identified.
ALRT0000070,2022-08-21,repeat_counterparty_flag,medium,transaction,TXN0004612,closed,Routine system-generated alert; no further linkage identified.
ALRT0000071,2023-08-23,documentation_gap,low,transaction,TXN0001666,escalated,Routine system-generated alert; no further linkage identified.
ALRT0000072,2024-02-22,third_party_payment,low,transaction,TXN0005372,closed,Routine system-generated alert; no further linkage identified.
ALRT0000073,2024-03-31,value_mismatch,low,transaction,TXN0005457,open,Routine system-generated alert; no further linkage identified.
ALRT0000074,2022-12-20,unusual_routing,medium,transaction,TXN0004585,escalated,Routine system-generated alert; no further linkage identified.
ALRT0000075,2025-01-02,late_shipment,medium,transaction,TXN0002213,escalated,Routine system-generated alert; no further linkage identified.
ALRT0000076,2024-03-17,unusual_routing,low,transaction,TXN0003457,open,Routine system-generated alert; no further linkage identified.
ALRT0000077,2023-05-04,third_party_payment,medium,transaction,TXN0002757,open,Routine system-generated alert; no further linkage identified.
ALRT0000078,2023-11-28,value_mismatch,low,transaction,TXN0005097,escalated,Routine system-generated alert; no further linkage identified.
ALRT0000079,2023-06-20,repeat_counterparty_flag,low,transaction,TXN0003260,closed,Routine system-generated alert; no further linkage identified.
ALRT0000080,2022-06-16,high_value_threshold,low,transaction,TXN0004474,closed,Routine system-generated alert; no further linkage identified.
ALRT0000081,2022-08-12,value_mismatch,low,transaction,TXN0002337,closed,Routine system-generated alert; no further linkage identified.
ALRT0000082,2025-02-20,repeat_counterparty_flag,low,transaction,TXN0004593,escalated,Routine system-generated alert; no further linkage identified.
ALRT0000083,2024-05-15,third_party_payment,medium,transaction,TXN0000576,open,Routine system-generated alert; no further linkage identified.
ALRT0000084,2023-05-20,late_shipment,medium,transaction,TXN0003192,closed,Routine system-generated alert; no further linkage identified.
ALRT0000085,2023-10-29,value_mismatch,medium,transaction,TXN0001885,open,Routine system-generated alert; no further linkage identified.
ALRT0000086,2024-10-25,value_mismatch,high,transaction,TXN0005563,closed,Routine system-generated alert; no further linkage identified.
ALRT0000087,2023-03-03,third_party_payment,medium,transaction,TXN0001326,closed,Routine system-generated alert; no further linkage identified.
ALRT0000088,2023-07-20,repeat_counterparty_flag,low,transaction,TXN0000951,closed,Routine system-generated alert; no further linkage identified.
ALRT0000089,2024-05-02,value_mismatch,high,transaction,TXN0000166,open,Routine system-generated alert; no further linkage identified.
ALRT0000090,2023-01-02,repeat_counterparty_flag,low,transaction,TXN0000696,closed,Routine system-generated alert; no further linkage identified.
ALRT0000091,2023-09-04,value_mismatch,low,transaction,TXN0001260,escalated,Routine system-generated alert; no further linkage identified.
ALRT0000092,2023-11-01,repeat_counterparty_flag,low,transaction,TXN0004850,open,Routine system-generated alert; no further linkage identified.
ALRT0000093,2023-04-01,value_mismatch,medium,transaction,TXN0001064,closed,Routine system-generated alert; no further linkage identified.
ALRT0000094,2023-08-18,documentation_gap,medium,transaction,TXN0004029,escalated,Routine system-generated alert; no further linkage identified.
ALRT0000095,2022-06-04,late_shipment,low,transaction,TXN0005319,closed,Routine system-generated alert; no further linkage identified.
ALRT0000096,2024-11-25,high_value_threshold,medium,transaction,TXN0002093,closed,Routine system-generated alert; no further linkage identified.
ALRT0000097,2024-05-29,repeat_counterparty_flag,low,transaction,TXN0001998,closed,Routine system-generated alert; no further linkage identified.
ALRT0000098,2022-08-09,high_value_threshold,low,transaction,TXN0005765,open,Routine system-generated alert; no further linkage identified.
ALRT0000099,2024-09-23,documentation_gap,low,transaction,TXN0002318,open,Routine system-generated alert; no further linkage identified.
ALRT0000100,2024-11-15,unusual_routing,medium,transaction,TXN0002555,escalated,Routine system-generated alert; no further linkage identified.
ALRT0000101,2024-08-22,late_shipment,low,transaction,TXN0005583,escalated,Routine system-generated alert; no further linkage identified.
ALRT0000102,2024-03-01,late_shipment,low,transaction,TXN0003205,open,Routine system-generated alert; no further linkage identified.
ALRT0000103,2024-08-16,high_value_threshold,low,transaction,TXN0002067,open,Routine system-generated alert; no further linkage identified.
ALRT0000104,2022-12-30,unusual_routing,low,transaction,TXN0004623,closed,Routine system-generated alert; no further linkage identified.
ALRT0000105,2022-08-31,value_mismatch,medium,transaction,TXN0003026,closed,Routine system-generated alert; no further linkage identified.
ALRT0000106,2022-03-16,late_shipment,low,transaction,TXN0005028,open,Routine system-generated alert; no further linkage identified.
ALRT0000107,2023-09-20,unusual_routing,low,transaction,TXN0002613,open,Routine system-generated alert; no further linkage identified.
ALRT0000108,2023-06-30,high_value_threshold,high,transaction,TXN0004293,open,Routine system-generated alert; no further linkage identified.
ALRT0000109,2022-08-02,repeat_counterparty_flag,medium,transaction,TXN0003397,escalated,Routine system-generated alert; no further linkage identified.
ALRT0000110,2024-09-22,documentation_gap,high,transaction,TXN0002593,escalated,Routine system-generated alert; no further linkage identified.
ALRT0000111,2023-08-14,documentation_gap,medium,transaction,TXN0005433,open,Routine system-generated alert; no further linkage identified.
ALRT0000112,2024-01-13,repeat_counterparty_flag,low,transaction,TXN0003601,open,Routine system-generated alert; no further linkage identified.
ALRT0000113,2023-11-24,high_value_threshold,low,transaction,TXN0005321,open,Routine system-generated alert; no further linkage identified.
ALRT0000114,2023-10-19,third_party_payment,medium,transaction,TXN0004061,closed,Routine system-generated alert; no further linkage identified.
ALRT0000115,2023-10-05,high_value_threshold,low,transaction,TXN0001047,escalated,Routine system-generated alert; no further linkage identified.
ALRT0000116,2024-08-20,repeat_counterparty_flag,low,transaction,TXN0005274,open,Routine system-generated alert; no further linkage identified.
ALRT0000117,2023-07-03,high_value_threshold,high,transaction,TXN0000500,closed,Routine system-generated alert; no further linkage identified.
ALRT0000118,2024-03-29,late_shipment,low,transaction,TXN0004060,closed,Routine system-generated alert; no further linkage identified.
ALRT0000119,2024-04-12,third_party_payment,low,transaction,TXN0000266,escalated,Routine system-generated alert; no further linkage identified.
ALRT0000120,2023-07-08,third_party_payment,medium,transaction,TXN0004691,closed,Routine system-generated alert; no further linkage identified.
ALRT0000121,2022-01-21,documentation_gap,low,transaction,TXN0000578,escalated,Routine system-generated alert; no further linkage identified.
ALRT0000122,2022-08-22,third_party_payment,high,transaction,TXN0002807,closed,Routine system-generated alert; no further linkage identified.
ALRT0000123,2024-08-18,value_mismatch,low,transaction,TXN0002089,closed,Routine system-generated alert; no further linkage identified.
ALRT0000124,2023-04-20,repeat_counterparty_flag,low,transaction,TXN0001680,closed,Routine system-generated alert; no further linkage identified.
ALRT0000125,2022-04-01,late_shipment,medium,transaction,TXN0003371,closed,Routine system-generated alert; no further linkage identified.
ALRT0000126,2022-07-10,high_value_threshold,low,transaction,TXN0004472,open,Routine system-generated alert; no further linkage identified.
ALRT0000127,2024-03-30,third_party_payment,low,transaction,TXN0003142,open,Routine system-generated alert; no further linkage identified.
ALRT0000128,2024-11-25,late_shipment,high,transaction,TXN0004451,closed,Routine system-generated alert; no further linkage identified.
ALRT0000129,2025-02-14,high_value_threshold,medium,transaction,TXN0001621,open,Routine system-generated alert; no further linkage identified.
ALRT0000130,2025-01-12,late_shipment,medium,transaction,TXN0003304,closed,Routine system-generated alert; no further linkage identified.
ALRT0000131,2024-06-07,value_mismatch,high,transaction,TXN0001147,closed,Routine system-generated alert; no further linkage identified.
ALRT0000132,2022-12-26,third_party_payment,low,transaction,TXN0004386,escalated,Routine system-generated alert; no further linkage identified.
ALRT0000133,2022-05-07,late_shipment,low,transaction,TXN0005874,closed,Routine system-generated alert; no further linkage identified.
ALRT0000134,2024-09-14,value_mismatch,medium,transaction,TXN0002164,escalated,Routine system-generated alert; no further linkage identified.
ALRT0000135,2022-06-01,unusual_routing,low,transaction,TXN0001036,closed,Routine system-generated alert; no further linkage identified.
ALRT0000136,2023-03-06,late_shipment,low,transaction,TXN0000249,closed,Routine system-generated alert; no further linkage identified.
ALRT0000137,2023-08-15,late_shipment,low,transaction,TXN0005770,escalated,Routine system-generated alert; no further linkage identified.
ALRT0000138,2023-02-04,value_mismatch,low,transaction,TXN0001674,open,Routine system-generated alert; no further linkage identified.
ALRT0000139,2024-06-19,value_mismatch,medium,transaction,TXN0001921,closed,Routine system-generated alert; no further linkage identified.
ALRT0000140,2024-08-31,high_value_threshold,medium,transaction,TXN0003308,open,Routine system-generated alert; no further linkage identified.
ALRT0000141,2024-02-23,late_shipment,medium,transaction,TXN0003052,escalated,Routine system-generated alert; no further linkage identified.
ALRT0000142,2024-07-01,late_shipment,high,transaction,TXN0003280,closed,Routine system-generated alert; no further linkage identified.
ALRT0000143,2022-10-14,unusual_routing,medium,transaction,TXN0001002,open,Routine system-generated alert; no further linkage identified.
ALRT0000144,2024-05-15,third_party_payment,high,transaction,TXN0004615,escalated,Routine system-generated alert; no further linkage identified.
ALRT0000145,2022-04-05,value_mismatch,low,transaction,TXN0005187,open,Routine system-generated alert; no further linkage identified.
ALRT0000146,2023-11-12,late_shipment,medium,transaction,TXN0001197,open,Routine system-generated alert; no further linkage identified.
ALRT0000147,2022-02-19,high_value_threshold,high,transaction,TXN0003673,escalated,Routine system-generated alert; no further linkage identified.
ALRT0000148,2024-03-02,unusual_routing,low,transaction,TXN0002539,escalated,Routine system-generated alert; no further linkage identified.
ALRT0000149,2024-04-21,high_value_threshold,medium,transaction,TXN0001282,closed,Routine system-generated alert; no further linkage identified.
ALRT0000150,2024-07-08,documentation_gap,high,transaction,TXN0005814,closed,Routine system-generated alert; no further linkage identified.
ALRT0000151,2024-07-19,repeat_counterparty_flag,high,transaction,TXN0000158,escalated,Routine system-generated alert; no further linkage identified.
ALRT0000152,2023-07-23,repeat_counterparty_flag,medium,transaction,TXN0005193,closed,Routine system-generated alert; no further linkage identified.
ALRT0000153,2024-02-03,unusual_routing,low,transaction,TXN0000395,escalated,Routine system-generated alert; no further linkage identified.
ALRT0000154,2023-12-18,value_mismatch,low,transaction,TXN0002263,closed,Routine system-generated alert; no further linkage identified.
ALRT0000155,2024-02-28,value_mismatch,medium,transaction,TXN0002039,open,Routine system-generated alert; no further linkage identified.
ALRT0000156,2025-01-28,value_mismatch,low,transaction,TXN0004902,escalated,Routine system-generated alert; no further linkage identified.
ALRT0000157,2023-04-16,unusual_routing,low,transaction,TXN0005897,open,Routine system-generated alert; no further linkage identified.
ALRT0000158,2024-10-05,high_value_threshold,medium,transaction,TXN0003590,open,Routine system-generated alert; no further linkage identified.
ALRT0000159,2022-03-15,third_party_payment,low,transaction,TXN0001876,closed,Routine system-generated alert; no further linkage identified.
ALRT0000160,2022-01-25,high_value_threshold,medium,transaction,TXN0005489,closed,Routine system-generated alert; no further linkage identified.
ALRT0000161,2024-05-18,late_shipment,low,transaction,TXN0002119,open,Routine system-generated alert; no further linkage identified.
ALRT0000162,2022-05-23,documentation_gap,medium,transaction,TXN0000894,open,Routine system-generated alert; no further linkage identified.
ALRT0000163,2022-11-25,late_shipment,high,transaction,TXN0004540,closed,Routine system-generated alert; no further linkage identified.
ALRT0000164,2023-08-15,repeat_counterparty_flag,low,transaction,TXN0003690,closed,Routine system-generated alert; no further linkage identified.
ALRT0000165,2022-11-29,documentation_gap,medium,transaction,TXN0003977,escalated,Routine system-generated alert; no further linkage identified.
ALRT0000166,2024-01-14,high_value_threshold,low,transaction,TXN0004449,open,Routine system-generated alert; no further linkage identified.
ALRT0000167,2023-02-19,value_mismatch,medium,transaction,TXN0005836,open,Routine system-generated alert; no further linkage identified.
ALRT0000168,2024-10-23,documentation_gap,low,transaction,TXN0000679,open,Routine system-generated alert; no further linkage identified.
ALRT0000169,2023-01-10,third_party_payment,low,transaction,TXN0005863,escalated,Routine system-generated alert; no further linkage identified.
ALRT0000170,2024-11-26,repeat_counterparty_flag,low,transaction,TXN0002610,open,Routine system-generated alert; no further linkage identified.
ALRT0000171,2022-11-17,third_party_payment,low,transaction,TXN0004720,open,Routine system-generated alert; no further linkage identified.
ALRT0000172,2022-05-23,third_party_payment,low,transaction,TXN0005615,escalated,Routine system-generated alert; no further linkage identified.
ALRT0000173,2023-01-12,value_mismatch,high,transaction,TXN0003841,open,Routine system-generated alert; no further linkage identified.
ALRT0000174,2022-11-25,unusual_routing,medium,transaction,TXN0000996,escalated,Routine system-generated alert; no further linkage identified.
ALRT0000175,2024-06-16,late_shipment,medium,transaction,TXN0003729,escalated,Routine system-generated alert; no further linkage identified.
ALRT0000176,2024-08-17,late_shipment,low,transaction,TXN0003619,escalated,Routine system-generated alert; no further linkage identified.
ALRT0000177,2023-06-12,high_value_threshold,medium,transaction,TXN0005772,closed,Routine system-generated alert; no further linkage identified.
ALRT0000178,2022-12-06,documentation_gap,low,transaction,TXN0002167,open,Routine system-generated alert; no further linkage identified.
ALRT0000179,2022-10-17,value_mismatch,medium,transaction,TXN0003255,open,Routine system-generated alert; no further linkage identified.
ALRT0000180,2024-06-24,unusual_routing,low,transaction,TXN0001266,closed,Routine system-generated alert; no further linkage identified.
ALRT0000181,2023-11-01,unusual_routing,low,transaction,TXN0000114,closed,Routine system-generated alert; no further linkage identified.
ALRT0000182,2023-11-20,documentation_gap,low,transaction,TXN0001918,closed,Routine system-generated alert; no further linkage identified.
ALRT0000183,2023-01-26,repeat_counterparty_flag,low,transaction,TXN0005570,escalated,Routine system-generated alert; no further linkage identified.
ALRT0000184,2023-07-21,third_party_payment,low,transaction,TXN0003433,open,Routine system-generated alert; no further linkage identified.
ALRT0000185,2022-07-04,third_party_payment,low,transaction,TXN0001066,closed,Routine system-generated alert; no further linkage identified.
ALRT0000186,2024-08-03,high_value_threshold,medium,transaction,TXN0003672,open,Routine system-generated alert; no further linkage identified.
ALRT0000187,2024-01-11,documentation_gap,low,transaction,TXN0002192,open,Routine system-generated alert; no further linkage identified.
ALRT0000188,2024-05-22,late_shipment,medium,transaction,TXN0003797,closed,Routine system-generated alert; no further linkage identified.
ALRT0000189,2023-12-14,documentation_gap,low,transaction,TXN0004105,closed,Routine system-generated alert; no further linkage identified.
ALRT0000190,2024-09-10,documentation_gap,medium,transaction,TXN0000117,open,Routine system-generated alert; no further linkage identified.
ALRT0000191,2022-10-30,value_mismatch,high,transaction,TXN0005472,open,Routine system-generated alert; no further linkage identified.
ALRT0000192,2023-09-08,value_mismatch,low,transaction,TXN0000368,closed,Routine system-generated alert; no further linkage identified.
ALRT0000193,2022-04-16,unusual_routing,low,transaction,TXN0002000,closed,Routine system-generated alert; no further linkage identified.
ALRT0000194,2022-10-09,third_party_payment,medium,transaction,TXN0005670,escalated,Routine system-generated alert; no further linkage identified.
ALRT0000195,2022-05-14,third_party_payment,medium,transaction,TXN0000238,escalated,Routine system-generated alert; no further linkage identified.
ALRT0000196,2023-09-27,third_party_payment,low,transaction,TXN0000769,open,Routine system-generated alert; no further linkage identified.
ALRT0000197,2023-04-29,late_shipment,medium,transaction,TXN0005687,escalated,Routine system-generated alert; no further linkage identified.
ALRT0000198,2024-07-07,value_mismatch,medium,transaction,TXN0001945,open,Routine system-generated alert; no further linkage identified.
ALRT0000199,2022-02-07,documentation_gap,high,transaction,TXN0000928,closed,Routine system-generated alert; no further linkage identified.
ALRT0000200,2024-04-08,unusual_routing,low,transaction,TXN0001390,open,Routine system-generated alert; no further linkage identified.
ALRT0000201,2022-08-28,documentation_gap,low,transaction,TXN0005810,escalated,Routine system-generated alert; no further linkage identified.
ALRT0000202,2023-06-11,value_mismatch,low,transaction,TXN0001522,open,Routine system-generated alert; no further linkage identified.
ALRT0000203,2023-02-17,third_party_payment,low,transaction,TXN0003819,closed,Routine system-generated alert; no further linkage identified.
ALRT0000204,2024-12-04,high_value_threshold,medium,transaction,TXN0003173,open,Routine system-generated alert; no further linkage identified.
ALRT0000205,2024-08-30,high_value_threshold,low,transaction,TXN0001838,open,Routine system-generated alert; no further linkage identified.
ALRT0000206,2024-03-06,late_shipment,low,transaction,TXN0005665,escalated,Routine system-generated alert; no further linkage identified.
ALRT0000207,2024-04-04,high_value_threshold,low,transaction,TXN0004855,closed,Routine system-generated alert; no further linkage identified.
ALRT0000208,2024-03-07,third_party_payment,low,transaction,TXN0003169,closed,Routine system-generated alert; no further linkage identified.
ALRT0000209,2023-05-24,high_value_threshold,low,transaction,TXN0005944,open,Routine system-generated alert; no further linkage identified.
ALRT0000210,2023-10-14,documentation_gap,low,transaction,TXN0000961,escalated,Routine system-generated alert; no further linkage identified.
ALRT0000211,2024-02-29,high_value_threshold,medium,transaction,TXN0001578,escalated,Routine system-generated alert; no further linkage identified.
ALRT0000212,2022-05-08,unusual_routing,low,transaction,TXN0002567,open,Routine system-generated alert; no further linkage identified.
ALRT0000213,2022-07-12,third_party_payment,low,transaction,TXN0003345,open,Routine system-generated alert; no further linkage identified.
ALRT0000214,2022-10-18,unusual_routing,medium,transaction,TXN0005026,open,Routine system-generated alert; no further linkage identified.
ALRT0000215,2023-04-08,third_party_payment,high,transaction,TXN0004587,closed,Routine system-generated alert; no further linkage identified.
ALRT0000216,2024-03-16,documentation_gap,medium,transaction,TXN0005872,escalated,Routine system-generated alert; no further linkage identified.
ALRT0000217,2025-01-01,documentation_gap,medium,transaction,TXN0002846,open,Routine system-generated alert; no further linkage identified.
ALRT0000218,2024-05-27,third_party_payment,low,transaction,TXN0003010,open,Routine system-generated alert; no further linkage identified.
ALRT0000219,2022-06-07,unusual_routing,medium,transaction,TXN0003714,closed,Routine system-generated alert; no further linkage identified.
ALRT0000220,2023-05-10,value_mismatch,low,transaction,TXN0000473,escalated,Routine system-generated alert; no further linkage identified.
ALRT0000221,2022-08-22,value_mismatch,high,transaction,TXN0002413,closed,Routine system-generated alert; no further linkage identified.
ALRT0000222,2022-08-06,documentation_gap,medium,transaction,TXN0005895,closed,Routine system-generated alert; no further linkage identified.
ALRT0000223,2022-10-16,repeat_counterparty_flag,medium,transaction,TXN0005007,escalated,Routine system-generated alert; no further linkage identified.
ALRT0000224,2023-07-26,late_shipment,low,transaction,TXN0004752,open,Routine system-generated alert; no further linkage identified.
ALRT0000225,2022-07-05,value_mismatch,low,transaction,TXN0003133,open,Routine system-generated alert; no further linkage identified.
ALRT0000226,2022-06-16,value_mismatch,medium,transaction,TXN0002677,escalated,Routine system-generated alert; no further linkage identified.
ALRT0000227,2024-06-20,documentation_gap,low,transaction,TXN0004921,escalated,Routine system-generated alert; no further linkage identified.
ALRT0000228,2024-07-27,high_value_threshold,medium,transaction,TXN0004903,escalated,Routine system-generated alert; no further linkage identified.
ALRT0000229,2023-01-14,value_mismatch,low,transaction,TXN0000023,escalated,Routine system-generated alert; no further linkage identified.
ALRT0000230,2023-07-01,documentation_gap,medium,transaction,TXN0003182,escalated,Routine system-generated alert; no further linkage identified.
ALRT0000231,2024-05-27,third_party_payment,low,transaction,TXN0002769,closed,Routine system-generated alert; no further linkage identified.
ALRT0000232,2024-01-03,documentation_gap,high,transaction,TXN0000097,open,Routine system-generated alert; no further linkage identified.
ALRT0000233,2023-09-21,repeat_counterparty_flag,low,transaction,TXN0000113,escalated,Routine system-generated alert; no further linkage identified.
ALRT0000234,2022-05-20,third_party_payment,low,transaction,TXN0005072,escalated,Routine system-generated alert; no further linkage identified.
ALRT0000235,2024-12-08,repeat_counterparty_flag,medium,transaction,TXN0004380,open,Routine system-generated alert; no further linkage identified.
ALRT0000236,2023-01-02,value_mismatch,medium,transaction,TXN0000419,escalated,Routine system-generated alert; no further linkage identified.
ALRT0000237,2022-05-11,high_value_threshold,medium,transaction,TXN0001035,escalated,Routine system-generated alert; no further linkage identified.
ALRT0000238,2024-11-21,high_value_threshold,medium,transaction,TXN0003854,escalated,Routine system-generated alert; no further linkage identified.
ALRT0000239,2022-07-23,high_value_threshold,low,transaction,TXN0005650,escalated,Routine system-generated alert; no further linkage identified.
